Date,Returns,momentum_factor,value_factor,volatility_factor,quality_factor,size_factor,liquidity_factor,sentiment_factor,technical_factor,macro_factor,carry_factor,Quintile
1,-0.0011837348018697,2.1719513717384813,3.983741782826416,1.3212007443345948,-0.8943911866461309,1.1945607943904275,0.203151276134262,0.6433733166559429,1.0250444469431903,0.6362865914640157,-1.0484559387755812,Q1
2,0.0057563054976175,-2.5257284058116034,3.5164765656335946,1.1233304766084249,-0.8786294138487659,-0.6264963132775383,1.6982262917310746,1.0629870007440536,0.5123422557567849,0.3924380012218033,-0.7542937475086572,Q1
3,0.0066043785457086,-1.4550664055900249,2.5423168100136087,0.7979527410625774,-0.8854869020096835,-0.670347120150434,-0.1376894126954415,1.1272954352801985,0.39305466757514,0.775143618563796,-0.8969382102293773,Q1
4,0.002619973098823,-0.2457447380668788,2.4274597201562926,0.8260497406373728,-1.331100760543681,-0.2997989738872044,-0.4481124297033974,0.8537818790287274,0.3489766634684798,0.5180743544694182,-1.1353968657999562,Q1
5,0.0089375567413953,-4.025245551161999,1.8418117605356417,0.9118404468195096,-1.1442100666892705,-0.3495453418499366,-0.3554107626031497,0.3917531515468527,0.1329348535187001,0.3007545615631259,-0.8124688011548241,Q1
6,0.0115064909690218,0.2441284421068138,1.0346714422138024,0.6308561308176349,-0.5129273821701963,-0.8682466063470952,-0.9533610574866668,0.58517694406272,0.0541980139197747,0.4741561227471099,-0.8925391792484293,Q1
7,0.0098987373282854,-0.7868377613301323,0.4622274604905369,0.4996003928645479,-0.7135629333420797,-0.752739255161617,1.1306572795161598,0.3965342065364154,0.2715474054990949,0.3474162990720146,-0.6299770804248525,Q1
8,0.0054315895003181,-1.6099237654931886,0.382661264820571,0.6348228093800018,-0.555990706605354,-0.2920247012524677,-2.45737591330198,0.1544625020227384,0.2028194222178569,0.3278722519050639,-0.5331206281370405,Q1
9,0.0107847657630306,0.8711459325896667,0.5396496783016062,0.6192089095508246,-0.5835754198125446,-0.1593289221063274,-1.1386580180383965,-0.0445322302005899,0.1855397444049899,0.447556303620116,-0.4243294656491713,Q1
10,0.0004703350148422,2.1349779058012626,0.4114219575052589,0.4875243025748378,-0.6240916586996788,-0.3564769864198413,1.290276050674786,-0.06825904184154,0.2290005967632483,0.4366903967079321,-0.6926743990171808,Q1
11,0.0090227139611604,-0.908461085681558,0.2997408261373115,0.4626548851050769,-0.4964334583709918,0.0778150772607578,1.2714162528788389,0.0042693790147624,0.2576875864277044,0.4401076572699745,-0.7545986724427747,Q1
12,0.0138709073369855,-2.0391704891177658,0.1425756598555155,0.5511953148898541,-0.4206403780417215,0.257322353992276,0.3280867420209689,-0.1261273012165095,0.2985888376309862,0.3815389415866432,-0.2789150591334756,Q1
13,0.0054421235090478,0.6034145342097685,-0.0021485314429782,0.5567070282581339,-0.2095732789307284,0.3810324649801824,-0.9280002113985656,-0.2503301998859639,0.268048115029066,0.2959737157514741,-0.1637980604169371,Q1
14,0.0034615258321367,3.6572565880933343,0.1700122154950911,0.5200937186889297,-0.3556099094701771,0.2538883622955052,0.5020264515785514,-0.3926120809266921,0.1490789220237209,0.2774867407806506,-0.3059910611915269,Q1
15,0.0147839848731402,1.5400447202381171,0.0715666997403713,0.5314874975080393,-0.2287432199611791,0.4452498819041636,-0.3899693213439708,-0.168114123257624,0.0731033236385974,0.2488782654487681,-0.1410951345555285,Q1
16,0.0018948299371596,-2.618982775777774,0.0673091825069304,0.4881962655449102,-0.1102246175298058,0.3894507658429095,0.3503280268269015,-0.2832632298016155,-0.1280893519355418,0.3764981550284608,-0.1250647197060633,Q1
17,0.0007878082926671,1.9920966069904,0.0241415412213056,0.4542831805475661,-0.1981581953477566,0.4938082409041462,0.2276593403997329,-0.299918822921178,-0.0891948208454028,0.4546781859555056,-0.1121153585756273,Q1
18,0.0074422372629548,0.4321721042432189,0.1471040559686559,0.3755652707682307,-0.006258272583179,0.51223767705755,0.8186699396124101,-0.1093610437474822,-0.1824217097715389,0.3945909861487592,-0.1606908602885106,Q1
19,-0.0038021473341248,1.3675757822371013,0.0073179740626614,0.4254745332255947,0.1503606008258256,0.5998508994030926,-0.1509049054593535,-0.0538853255998355,-0.1225666970389651,0.3187977084888903,-0.2884654394525228,Q1
20,0.0032049361994689,0.4828823214158987,0.1401363219388253,0.4501176195735472,0.2299886914944944,0.6252120262779649,1.136989839287971,-0.1755497150348606,-0.222340604985408,0.2473698131563334,-0.3084879160469844,Q1
21,0.0033913066393243,1.4168265272406486,0.1051243800349965,0.4404416428328491,0.1063052361276883,0.770444733468546,0.2305175654868976,-0.213234519512436,-0.2019138582059278,0.2757614787880829,-0.145627837991088,Q1
