Date,Returns,momentum_factor,value_factor,volatility_factor,quality_factor,size_factor,liquidity_factor,sentiment_factor,technical_factor,macro_factor,carry_factor
1,-0.0011837348018697584,2.1719513717384813,3.983741782826416,1.3212007443345948,-0.8943911866461309,1.1945607943904275,0.20315127613426204,0.6433733166559429,1.0250444469431903,0.6362865914640157,-1.0484559387755812
2,0.005756305497617537,-2.5257284058116034,3.5164765656335946,1.1233304766084249,-0.8786294138487659,-0.6264963132775383,1.6982262917310746,1.0629870007440536,0.5123422557567849,0.3924380012218033,-0.7542937475086572
3,0.006604378545708652,-1.4550664055900249,2.5423168100136087,0.7979527410625774,-0.8854869020096835,-0.670347120150434,-0.1376894126954415,1.1272954352801985,0.39305466757514007,0.775143618563796,-0.8969382102293773
4,0.002619973098823048,-0.24574473806687883,2.4274597201562926,0.8260497406373728,-1.3311007605436813,-0.2997989738872044,-0.4481124297033974,0.8537818790287274,0.3489766634684798,0.5180743544694182,-1.1353968657999562
5,0.00893755674139537,-4.025245551161999,1.8418117605356419,0.9118404468195097,-1.1442100666892705,-0.3495453418499366,-0.35541076260314974,0.3917531515468527,0.13293485351870013,0.3007545615631259,-0.8124688011548241
6,0.011506490969021881,0.2441284421068138,1.0346714422138024,0.6308561308176349,-0.5129273821701963,-0.8682466063470952,-0.9533610574866668,0.58517694406272,0.05419801391977477,0.4741561227471099,-0.8925391792484293
7,0.009898737328285473,-0.7868377613301323,0.4622274604905369,0.4996003928645479,-0.7135629333420797,-0.752739255161617,1.1306572795161598,0.3965342065364154,0.27154740549909495,0.3474162990720146,-0.6299770804248525
8,0.005431589500318159,-1.6099237654931886,0.382661264820571,0.6348228093800018,-0.555990706605354,-0.2920247012524677,-2.45737591330198,0.15446250202273845,0.20281942221785695,0.3278722519050639,-0.5331206281370405
9,0.01078476576303062,0.8711459325896667,0.5396496783016062,0.6192089095508246,-0.5835754198125446,-0.15932892210632746,-1.1386580180383965,-0.044532230200589974,0.1855397444049899,0.44755630362011606,-0.4243294656491713
10,0.0004703350148422493,2.1349779058012626,0.41142195750525895,0.4875243025748378,-0.6240916586996788,-0.3564769864198413,1.290276050674786,-0.06825904184154007,0.2290005967632483,0.4366903967079321,-0.6926743990171808
11,0.009022713961160419,-0.9084610856815581,0.29974082613731157,0.46265488510507696,-0.49643345837099184,0.07781507726075788,1.2714162528788389,0.004269379014762413,0.25768758642770445,0.4401076572699745,-0.7545986724427747
12,0.013870907336985584,-2.0391704891177658,0.14257565985551557,0.5511953148898541,-0.42064037804172155,0.257322353992276,0.3280867420209689,-0.12612730121650953,0.29858883763098626,0.38153894158664325,-0.2789150591334756
13,0.005442123509047858,0.6034145342097685,-0.00214853144297821,0.5567070282581339,-0.20957327893072844,0.38103246498018245,-0.9280002113985656,-0.25033019988596394,0.268048115029066,0.29597371575147413,-0.16379806041693712
14,0.0034615258321367207,3.6572565880933343,0.1700122154950911,0.5200937186889297,-0.3556099094701771,0.2538883622955052,0.5020264515785514,-0.39261208092669214,0.14907892202372094,0.27748674078065066,-0.3059910611915269
15,0.014783984873140291,1.5400447202381173,0.07156669974037136,0.5314874975080393,-0.2287432199611791,0.4452498819041636,-0.38996932134397083,-0.168114123257624,0.07310332363859748,0.24887826544876812,-0.1410951345555285
